,track,artist,album,trackID,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
93,Summertime Magic,Childish Gambino,Summer Pack,4j3GWI86JvSaF0BLdmgcfF,0.76,0.579,0,-7.374,1,0.0569,0.0129,0.00351,0.106,0.125,100.01,audio_features,4j3GWI86JvSaF0BLdmgcfF,spotify:track:4j3GWI86JvSaF0BLdmgcfF,https://api.spotify.com/v1/tracks/4j3GWI86JvSaF0BLdmgcfF,https://api.spotify.com/v1/audio-analysis/4j3GWI86JvSaF0BLdmgcfF,213600,4
94,All Over You,Majid Jordan,All Over You,4D2Z8yUlhaDD81ubWpcRdt,0.797,0.5,0,-6.964,0,0.0354,0.0579,0.0,0.122,0.492,106.957,audio_features,4D2Z8yUlhaDD81ubWpcRdt,spotify:track:4D2Z8yUlhaDD81ubWpcRdt,https://api.spotify.com/v1/tracks/4D2Z8yUlhaDD81ubWpcRdt,https://api.spotify.com/v1/audio-analysis/4D2Z8yUlhaDD81ubWpcRdt,215327,4
95,Don't Start Now,Dua Lipa,Don't Start Now,6WrI0LAC5M1Rw2MnX2ZvEg,0.794,0.793,11,-4.521,0,0.0842,0.0125,0.0,0.0952,0.677,123.941,audio_features,6WrI0LAC5M1Rw2MnX2ZvEg,spotify:track:6WrI0LAC5M1Rw2MnX2ZvEg,https://api.spotify.com/v1/tracks/6WrI0LAC5M1Rw2MnX2ZvEg,https://api.spotify.com/v1/audio-analysis/6WrI0LAC5M1Rw2MnX2ZvEg,183290,4
96,Go Go,Alphabeat,This Is Alphabeat,21wIvGNUlqiJ546YIJClal,0.763,0.818,11,-5.426,0,0.0402,0.132,0.0,0.345,0.953,109.974,audio_features,21wIvGNUlqiJ546YIJClal,spotify:track:21wIvGNUlqiJ546YIJClal,https://api.spotify.com/v1/tracks/21wIvGNUlqiJ546YIJClal,https://api.spotify.com/v1/audio-analysis/21wIvGNUlqiJ546YIJClal,184107,4
97,Looking at Me,Sabrina Carpenter,Singular Act II,59tskctgqUmjCWAwhzYAFm,0.681,0.798,2,-4.367,1,0.0375,0.00398,5.11e-06,0.0542,0.516,105.99,audio_features,59tskctgqUmjCWAwhzYAFm,spotify:track:59tskctgqUmjCWAwhzYAFm,https://api.spotify.com/v1/tracks/59tskctgqUmjCWAwhzYAFm,https://api.spotify.com/v1/audio-analysis/59tskctgqUmjCWAwhzYAFm,181120,4
98,That Power,Childish Gambino,Camp,2HI4QQQDjKde4ua1lbkFcN,0.42,0.676,4,-7.334,0,0.18,0.111,0.0,0.157,0.689,82.166,audio_features,2HI4QQQDjKde4ua1lbkFcN,spotify:track:2HI4QQQDjKde4ua1lbkFcN,https://api.spotify.com/v1/tracks/2HI4QQQDjKde4ua1lbkFcN,https://api.spotify.com/v1/audio-analysis/2HI4QQQDjKde4ua1lbkFcN,462253,4
99,Sunrise,Childish Gambino,Camp,79wnZenDjYupQIDHLtHRue,0.546,0.695,7,-6.374,1,0.0454,0.011,0.0,0.0713,0.182,79.932,audio_features,79wnZenDjYupQIDHLtHRue,spotify:track:79wnZenDjYupQIDHLtHRue,https://api.spotify.com/v1/tracks/79wnZenDjYupQIDHLtHRue,https://api.spotify.com/v1/audio-analysis/79wnZenDjYupQIDHLtHRue,219840,4
100,Hot (Remix) [feat. Gunna and Travis Scott],Young Thug,Hot (Remix) [feat. Gunna and Travis Scott],56AMYGJzxBO6p8v0wEe9de,0.845,0.631,7,-8.206,0,0.216,0.188,0.0,0.0806,0.545,111.983,audio_features,56AMYGJzxBO6p8v0wEe9de,spotify:track:56AMYGJzxBO6p8v0wEe9de,https://api.spotify.com/v1/tracks/56AMYGJzxBO6p8v0wEe9de,https://api.spotify.com/v1/audio-analysis/56AMYGJzxBO6p8v0wEe9de,279907,4
101,Promises (with Sam Smith),Calvin Harris,Promises (with Sam Smith),5N5k9nd479b1xpDZ4usjrg,0.781,0.768,11,-5.991,1,0.0394,0.0119,4.91e-06,0.325,0.486,123.07,audio_features,5N5k9nd479b1xpDZ4usjrg,spotify:track:5N5k9nd479b1xpDZ4usjrg,https://api.spotify.com/v1/tracks/5N5k9nd479b1xpDZ4usjrg,https://api.spotify.com/v1/audio-analysis/5N5k9nd479b1xpDZ4usjrg,213309,4
102,Be Alright,Dean Lewis,Be Alright,3EPXxR3ImUwfayaurPi3cm,0.553,0.586,11,-6.319,1,0.0362,0.697,0.0,0.0813,0.443,126.684,audio_features,3EPXxR3ImUwfayaurPi3cm,spotify:track:3EPXxR3ImUwfayaurPi3cm,https://api.spotify.com/v1/tracks/3EPXxR3ImUwfayaurPi3cm,https://api.spotify.com/v1/audio-analysis/3EPXxR3ImUwfayaurPi3cm,196373,4
